CELL_ID,GRID_ID,,,RSRP,,
18463489,11633680|3982320,11633680,3982320,-89.94,116.3368,39.8232
20629763,11677380|3972060,11677380,3972060,-84.13,116.7738,39.7206
22542539,11641600|4005660,11641600,4005660,-86.23,116.416,40.0566
20507649,11678940|3972220,11678940,3972220,-91.98,116.7894,39.7222
20846851,11653820|4024680,11653820,4024680,-87.24,116.5382,40.2468
19385859,11663820|4029480,11663820,4029480,-89.93,116.6382,40.2948
20841219,11664380|4005860,11664380,4005860,-98.53,116.6438,40.0586
23549909,11639420|4007860,11639420,4007860,-82.32,116.3942,40.0786
4429058,11644300|3975940,11644300,3975940,-84.28,116.443,39.7594
20753154,11656360|3989320,11656360,3989320,-102.38,116.5636,39.8932
22221564,11653760|4024640,11653760,4024640,-92.8,116.5376,40.2464
24522699,11705100|4019320,11705100,4019320,-98.82,117.051,40.1932
25661130,11641560|3979840,11641560,3979840,-94.01,116.4156,39.7984
11057541,11662840|3970040,11662840,3970040,-97.7,116.6284,39.7004
4429058,11644320|3975800,11644320,3975800,-87,116.4432,39.758
23931083,11652000|4016320,11652000,4016320,-99.93,116.52,40.1632
25620171,11654440|3984340,11654440,3984340,-92.63,116.5444,39.8434
22917323,11640740|4005180,11640740,4005180,-80.71,116.4074,40.0518
22226634,11685700|4005640,11685700,4005640,-94.47,116.857,40.0564
19367683,11670380|4013240,11670380,4013240,-83,116.7038,40.1324
4258819,11635420|4007140,11635420,4007140,-76.49,116.3542,40.0714
11232387,11720000|4034920,11720000,4034920,-95.36,117.2,40.3492
18795789,11663740|3990640,11663740,3990640,-94.56,116.6374,39.9064
20963586,11678080|4009740,11678080,4009740,-104.06,116.7808,40.0974
23078858,11669300|3966900,11669300,3966900,-87.89,116.693,39.669
20616978,11670120|3988440,11670120,3988440,-88.48,116.7012,39.8844
23030985,11655420|4017840,11655420,4017840,-104.55,116.5542,40.1784
23078858,11669320|3966880,11669320,3966880,-86.9,116.6932,39.6688
20804609,11682120|4007760,11682120,4007760,-94.74,116.8212,40.0776
22300874,11681320|3984360,11681320,3984360,-101,116.8132,39.8436
20500739,11699920|4006500,11699920,4006500,-82.84,116.9992,40.065
22221564,11653780|4024660,11653780,4024660,-92.5,116.5378,40.2466
4287491,11690580|3978760,11690580,3978760,-97.13,116.9058,39.7876
19203852,11653500|4002300,11653500,4002300,-99.6,116.535,40.023
20799491,11678840|4020440,11678840,4020440,-88.62,116.7884,40.2044
20945409,11653640|4041980,11653640,4041980,-95.6,116.5364,40.4198
126891908,11648500|4011400,11648500,4011400,-87.07,116.485,40.114
20863490,11654800|4016700,11654800,4016700,-95.79,116.548,40.167
127782275,11641900|3983060,11641900,3983060,-87.62,116.419,39.8306
127169924,11699860|4003680,11699860,4003680,-97.82,116.9986,40.0368
20749314,11660600|3990860,11660600,3990860,-105.27,116.606,39.9086
23215051,11671940|3969080,11671940,3969080,-89.66,116.7194,39.6908
19328258,11663700|4029800,11663700,4029800,-97.36,116.637,40.298
20535347,11669880|3980780,11669880,3980780,-95.2,116.6988,39.8078
25245131,11668680|4036840,11668680,4036840,-96.8,116.6868,40.3684
4282114,11703480|4014360,11703480,4014360,-82.44,117.0348,40.1436
20881411,11663680|4002900,11663680,4002900,-107.08,116.6368,40.029
